"STATION","DATE","AWND","CDSD","CLDD","DP01","DP10","DP1X","DSND","DSNW","DT00","DT32","DX32","DX70","DX90","DYFG","DYHF","DYTS","EMNT","EMSD","EMSN","EMXP","EMXT","EVAP","FZF0","FZF1","FZF2","FZF3","FZF4","FZF5","FZF6","FZF7","FZF8","FZF9","HDSD","HN01","HN02","HN03","HTDD","HX01","HX02","HX03","LN01","LN02","LN03","LX01","LX02","LX03","MN01","MN02","MN03","MNPN","MX01","MX02","MX03","MXPN","PRCP","PSUN","SNOW","TAVG","TMAX","TMIN","TSUN","WDF1","WDF2","WDF5","WDFG","WDFM","WDMV","WSF1","WSF2","WSF5","WSFG","WSFM"
"USR0000CCOU","2011",,"1606","1606",,,,,,"         0","        21","         0","       183","        87",,,,"26",,,,"103",,"32",,,,,"32","26",,,,"3331",,,,"3331",,,,,,,,,,,,,,,,,,,,,"60.6","72.3","48.9",,,,,,,,,,,,
"USR0000CLAB","2011",,"1426","1426",,,,,,"         0","         3","         0","       195","        61",,,,"30",,,,"104",,"32",,,,,"30",,,,,"2381",,,,"2381",,,,,,,,,,,,,,,,,,,,,"62.0","72.2","51.8",,,,,,,,,,,,
"USC00048606","2011",,"224","224",,,,,,"         0","       133","         7","       134","         2",,,"         4","11",,,,"91",,"31","25","21",,,"31","28","22","15","15","5579",,,,"5579",,,,,,,,,,,,,,,,,,,,,"50.3","62.7","38.0",,,,,,,,,,,,
"USR0000CCP9","2011",,"1345","1345",,,,,,"         0","        22","         0","       168","        29",,,,"25",,,,"100",,"32",,,,,"30","25",,,,"3566",,,,"3566",,,,,,,,,,,,,,,,,,,,,"59.5","68.1","50.8",,,,,,,,,,,,
"USR0000CPIE","2011",,"210","210",,,,,,"         0","       172","         8","       116","         0",,,,"5",,,,"88",,"30","27","20","20","16","30","28","21","20","8","6836",,,,"6836",,,,,,,,,,,,,,,,,,,,,"47.2","58.4","36.0",,,,,,,,,,,,
"USR0000CCON","2011",,"387","387",,,,,,"         0","       113","         0","       168","         9",,,,"14",,,,"94",,"32","23","23",,,"31","26","20","20","15","4612",,,,"4612",,,,,,,,,,,,,,,,,,,,,"53.3","67.5","39.1",,,,,,,,,,,,
"USR0000CESP","2011",,"955","955",,,,,,"         0","        62","         0","       160","        61",,,,"22",,,,"99",,"31","28",,,,"31","28","23",,,"4106",,,,"4106",,,,,,,,,,,,,,,,,,,,,"56.6","69.1","44.0",,,,,,,,,,,,
"USC00043392","2011",,"740","740","        51","        20","         3",,,"         0","         0","         0","       210","        11",,,,"38",,,"3.73","101",,,,,,,,,,,,"1787",,,,"1787",,,,,,,,,,,,,,,,,,"13.63",,,"62.3","71.7","52.9",,,,,,,,,,,,
"USR0000CCOL","2011",,"303","303",,,,,,"         0","       148","        20","        90","         0",,,,"10",,,,"87",,"32","25","24","20",,"29","28","22","18","10","7100",,,,"7100",,,,,,,,,,,,,,,,,,,,,"46.8","55.1","38.5",,,,,,,,,,,,
"USR0000CCOR","2011",,"145","145",,,,,,"         0","        15","         0","       163","        12",,,,"27",,,,"97",,"32","27",,,,"31","28",,,,"3189",,,,"3189",,,,,,,,,,,,,,,,,,,,,"56.7","68.7","44.6",,,,,,,,,,,,
