"STATION","DATE","AWND","CDSD","CLDD","DP01","DP10","DP1X","DSND","DSNW","DT00","DT32","DX32","DX70","DX90","DYFG","DYHF","DYTS","EMNT","EMSD","EMSN","EMXP","EMXT","EVAP","FZF0","FZF1","FZF2","FZF3","FZF4","FZF5","FZF6","FZF7","FZF8","FZF9","HDSD","HN01","HN02","HN03","HTDD","HX01","HX02","HX03","LN01","LN02","LN03","LX01","LX02","LX03","MN01","MN02","MN03","MNPN","MX01","MX02","MX03","MXPN","PRCP","PSUN","SNOW","TAVG","TMAX","TMIN","TSUN","WDF1","WDF2","WDF5","WDFG","WDFM","WDMV","WSF1","WSF2","WSF5","WSFG","WSFM"
"USR0000CCOU","2014",,"1980","1980",,,,,,"         0","         2","         0","       222","        85",,,,"32",,,,"105",,"32",,,,,"32",,,,,"1918",,,,"1918",,,,,,,,,,,,,,,,,,,,,"64.7","74.9","54.4",,,,,,,,,,,,
"USR0000CLAB","2014",,"2114","2114",,,,,,"         0","         0","         0","       240","        97",,,,"33",,,,"106",,,,,,,,,,,,"1485",,,,"1485",,,,,,,,,,,,,,,,,,,,,"67.1","77.7","56.4",,,,,,,,,,,,
"USR0000CCP9","2014",,"1412","1412",,,,,,"         0","         7","         0","       210","        32",,,,"26",,,,"99",,"32","26",,,,"32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"62.7","71.6","53.9",,,,,,,,,,,,
"USR0000CCON","2014",,"422","422",,,,,,"         0","        54","         1","       205","        17",,,,"16",,,,"94",,"32","26","24","20","16","30","25","24","19",,"3690",,,,"3690",,,,,,,,,,,,,,,,,,,,,"56.5","71.0","42.0",,,,,,,,,,,,
"USR0000CCOL","2014",,"475","475",,,,,,"         0","        99","         5","       121","         5",,,,"12",,,,"92",,"32","28","22","17","12","32","27","24","19",,"5687",,,,"5687",,,,,,,,,,,,,,,,,,,,,"50.8","59.5","42.1",,,,,,,,,,,,
"USC00044484","2014",,,,"        65","        56","         8","        0","         0",,,,,,,,,,"0","0.0","3.64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"39.81",,"0.0",,,,,,,,,,,,,,,
"USC00046663","2014",,,,"        28","        15","         3",,,,,,,,,,,,,,"1.74",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8.18",,,,,,,,,,,,,,,,,
"USR0000CCOR","2014",,"318","318",,,,,,"         0","         2","         0","       238","        15",,,,"32",,,,"101",,"32",,,,,,,,,,"2270",,,,"2270",,,,,,,,,,,,,,,,,,,,,"60.4","72.9","48.0",,,,,,,,,,,,
"USR0000CCOO","2014",,"570","570",,,,,,"         0","        11","         0","       119","         2",,,,"30",,,,"93",,"31",,,,,"32",,,,,"3953",,,,"3953",,,,,,,,,,,,,,,,,,,,,"55.5","62.7","48.4",,,,,,,,,,,,
"USW00023174","2014","6.9","1125","1125","        23","        15","         3",,,"         0","         0","         0","       241","         8","        94","         5","         1","40",,,"1.56","97",,,,,,,,,,,,"809",,,,"809",,,,,,,,,,,,,,,,,,"8.30",,,"66.0","72.9","59.1",,,"       270","       270",,,,,"36.9","44.1",,
"USR0000CCOH","2014",,"2172","2172",,,,,,"         0","         0","         0","       214","        76",,,,"34",,,,"104",,,,,,,,,,,,"1814",,,,"1814",,,,,,,,,,,,,,,,,,,,,"65.6","73.5","57.5",,,,,,,,,,,,
"US1CAMD0017","2014",,,,"       101","        71","        23",,,,,,,,,,,,,,"3.42",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"61.16",,,,,,,,,,,,,,,,,
"USR0000CPHI","2014",,"975","975",,,,,,"         0","        11","         0","       240","        23",,,,"23",,,,"97",,"31","23","23",,,"31",,,,,"2309",,,,"2309",,,,,,,,,,,,,,,,,,,,,"61.4","73.6","49.3",,,,,,,,,,,,
"US1CAAM0003","2014",,,,"        70","        54","        14",,,,,,,,,,,,,,"5.81",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"46.02",,,,,,,,,,,,,,,,,
"US1CAAM0009","2014",,,,"        67","        44","        12",,,,,,,,,,,,,,"5.30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"39.34",,,,,,,,,,,,,,,,,
"USS0019L40S","2014",,"10","10","        64","        64","         3","      155",,"         1","       144","         9","        70","         0",,,,"-3","27",,"2.00","82",,"31","25","22","19","15","29","20","20","20","15","7396",,,,"7396",,,,,,,,,,,,,,,,,,"16.77",,,"45.5","55.8","35.3",,,,,,,,,,,,
"USW00023179","2014","7.8","5083","5083","        22","         8","         2",,,"         0","         2","         0","       326","       191","         6","         1","        16","30",,,"2.20","118",,"32",,,,,,,,,,"705",,,,"705",,,,,,,,,,,,,,,,,,"5.90",,,"77.1","89.6","64.6",,,"       150","       150",,,,,"44.1","70.9",,
"USC00046657","2014",,"882","882","        33","        25","         8",,"         2","         0","        20","         1","       183","         5","        12",,"         5","19",,"14.0","4.40","94",,"32","26","19","19",,"29","28",,,,"3183",,,,"3183",,,,,,,,,,,,,,,,,,"22.85",,"15.3","59.3","68.5","50.1",,,,,,,,,,,,
"US1CANP0003","2014",,,,"        72","        46","         7",,,,,,,,,,,,,,"4.84",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"37.22",,,,,,,,,,,,,,,,,
"USC00042294","2014",,"1470","1470","        59","        40","         4",,,"         0","        11","         0","       242","       105",,,,"29",,,"2.72","108","90.4","32",,,,,"29",,,,,"2008","87","89","88","2008","101","96","90","43","46","50","48","49","51","66","68","70","54","75","73","71","76","20.44",,,"64.0","78.3","49.7",,,,,,,,,,,,
"USC00047741","2014",,,,"        31","        19","         1",,,,,,,,,,,,,,"1.08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7.44",,,,,,,,,,,,,,,,,
