"STATION","DATE","AWND","CDSD","CLDD","DP01","DP10","DP1X","DSND","DSNW","DT00","DT32","DX32","DX70","DX90","DYFG","DYHF","DYTS","EMNT","EMSD","EMSN","EMXP","EMXT","EVAP","FZF0","FZF1","FZF2","FZF3","FZF4","FZF5","FZF6","FZF7","FZF8","FZF9","HDSD","HN01","HN02","HN03","HTDD","HX01","HX02","HX03","LN01","LN02","LN03","LX01","LX02","LX03","MN01","MN02","MN03","MNPN","MX01","MX02","MX03","MXPN","PRCP","PSUN","SNOW","TAVG","TMAX","TMIN","TSUN","WDF1","WDF2","WDF5","WDFG","WDFM","WDMV","WSF1","WSF2","WSF5","WSFG","WSFM"
"USR0000CCOU","2012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2961",,,,"2961",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USR0000CLAB","2012",,"1888","1888",,,,,,"         0","         2","         0","       209","        93",,,,"31",,,,"104",,"32",,,,,"31",,,,,"2088",,,,"2088",,,,,,,,,,,,,,,,,,,,,"64.8","75.5","54.2",,,,,,,,,,,,
"USC00048606","2012",,,,,,,,,,,,,,,,"         2",,,,,,,,,,,,,,,,,"4976",,,,"4976",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USR0000CCP9","2012",,"1615","1615",,,,,,"         0","        21","         0","       199","        43",,,,"27",,,,"100",,"32","27",,,,"31","28",,,,"2773",,,,"2773",,,,,,,,,,,,,,,,,,,,,"61.6","70.5","52.8",,,,,,,,,,,,
"USR0000CPIE","2012",,"303","303",,,,,,"         0","       142","        11","       137","         7",,,,"6",,,,"92",,"30","28","24","18","15","32","26","15","15","15","6036",,,,"6036",,,,,,,,,,,,,,,,,,,,,"49.4","60.7","38.2",,,,,,,,,,,,
"USR0000CESP","2012",,"1225","1225",,,,,,"         0","        52","         0","       190","        75",,,,"21",,,,"105",,"31","27","23",,,"31","27","22",,,"3578",,,,"3578",,,,,,,,,,,,,,,,,,,,,"58.5","71.3","45.8",,,,,,,,,,,,
"USR0000CCOL","2012",,"439","439",,,,,,"         0","       137","        33","       122","         5",,,,"14",,,,"93",,"32","27","23","20",,"30","28","20","20","16","6523",,,,"6523",,,,,,,,,,,,,,,,,,,,,"48.1","56.6","39.7",,,,,,,,,,,,
"USC00044484","2012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"46.28",,,,,,,,,,,,,,,,,
"USR0000CCOR","2012",,"159","159",,,,,,"         0","        10","         0","       194","         8",,,,"27",,,,"104",,"30",,,,,"32","28",,,,"3035",,,,"3035",,,,,,,,,,,,,,,,,,,,,"57.6","70.2","44.9",,,,,,,,,,,,
"USR0000CCOO","2012",,"525","525",,,,,,"         0","        50","         0","       100","        12",,,,"25",,,,"100",,"32",,,,,"32","28",,,,"5000",,,,"5000",,,,,,,,,,,,,,,,,,,,,"52.2","60.4","44.1",,,,,,,,,,,,
"US1CAMD0010","2012",,,,"        63","        52","        16",,,,,,,,,,,,,,"4.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"47.51",,,,,,,,,,,,,,,,,
"USW00023174","2012","6.9","702","702","        39","        20","         1",,,"         0","         0","         0","       189","         3","        89","        24","         3","41",,,"1.42","98",,,,,,,,,,,,"1465",,,,"1465",,,,,,,,,,,,,,,,,,"8.91",,,"63.4","70.0","56.8",,,"       270",,,,,,"40.9",,,
"US1CAMD0017","2012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"72.66",,,,,,,,,,,,,,,,,
"USR0000CPHI","2012",,"1122","1122",,,,,,"         0","        25","         0","       217","        36",,,,"26",,,,"99",,"30","26",,,,"32","28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"60.3","72.6","47.9",,,,,,,,,,,,
"USS0019L40S","2012",,"17","17","        69","        69","         6","      154",,"         0","       146","        27","        81","         0",,,,"1","46",,"1.80","82",,"25","25","23","19","14","27","27","22","20","9","7797",,,,"7797",,,,,,,,,,,,,,,,,,"21.76",,,"44.4","54.7","34.0",,,,,,,,,,,,
"USW00023179","2012","7.6","5121","5121","        25","        10","         0",,,"         0","         0","         0","       312","       187","         3",,"        18","34",,,"0.91","120",,,,,,,,,,,,"1029",,,,"1029",,,,,,,,,,,,,,,,,,"4.23",,,"76.5","89.1","64.0",,,"       300","       300",,,,,"45.0","55.9",,
"USC00046657","2012",,"952","952","        43","        35","         7","       16","        11","         0","        41","         0","       176","        11","         9",,"         3","20","10","10.0","2.00","92",,"29","28","23",,,"30","27","23","20",,"3380",,,,"3380",,,,,,,,,,,,,,,,,,"22.22",,"37.5","58.1","67.1","49.1",,,,,,,,,,,,
"USC00046896","2012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2519",,,,"2519",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00042294","2012",,"1186","1186","        56","        34","         6",,,"         0","        19","         0","       209","        93",,,,"21",,,"1.75","105","90.1","32",,,,,"30","21","21",,,"2582",,,,"2582",,,,,,,,,,,,,,,,,,"21.59",,,"61.5","75.4","47.6",,,,,,,,,,,,
"USC00044232","2012",,"2500","2500","        14","         5","         1",,,"         0","        77","         0","       246","       148",,,,"15",,,"1.32","111",,"32","25","20","20","15","32","26","23","20",,"2967",,,,"2967",,,,,,,,,,,,,,,,,,"3.52",,,"64.1","80.6","47.6",,,,,,,,,,,,
"USW00023161","2012","10.5","3439","3439","        19","         5","         0",,,"         0","        26","         0","       270","       158",,,"        15","23",,,"0.24","114",,"32","23","23",,,"32","27",,,,"2098",,,,"2098",,,,,,,,,,,,,,,,,,"1.30",,,"69.3","83.8","54.8",,,"       270","       210",,,,,"49.0","61.1",,
"USW00024259","2012","6.3","602","602","        96","        38","         0",,,"         0","       127","         3","       158","        65","        96","        25","         5","7",,,"0.97","104",,"32","27","20","19",,"32","27","19","19","7","5524",,,,"5524",,,,,,,,,,,,,,,,,,"12.27",,,"52.3","67.3","37.3",,,"       170","       210",,,,,"51.0","99.1",,
"USR0000CTOM","2012",,"23","23",,,,,,"         0","       139","        47","        49","         0",,,,"1",,,,"79",,"32","22","22","20","9","22","22","22","19","13",,,,,,,,,,,,,,,,,,,,,,,,,,"44.6","52.9","36.2",,,,,,,,,,,,
"USW00024257","2012","5.4","1913","1913","        75","        52","        13",,,"         0","        35","         0","       206","       115","        77","         5","         6","16",,,"2.43","112",,"30","27",,,,"29","16","16","16","16","2866",,,,"2866",,,,,,,,,,,,,,,,,,"36.45",,,"62.4","75.8","49.0",,,"       170","       170",,,,,"49.0","66.0",,
"US1CAMD0001","2012",,,,"       125","        69","        17",,,,,,,,,,,,,,"4.11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"56.63",,,,,,,,,,,,,,,,,
