"STATION","DATE","AWND","CDSD","CLDD","DP01","DP10","DP1X","DSND","DSNW","DT00","DT32","DX32","DX70","DX90","DYFG","DYHF","DYTS","EMNT","EMSD","EMSN","EMXP","EMXT","EVAP","FZF0","FZF1","FZF2","FZF3","FZF4","FZF5","FZF6","FZF7","FZF8","FZF9","HDSD","HN01","HN02","HN03","HTDD","HX01","HX02","HX03","LN01","LN02","LN03","LX01","LX02","LX03","MN01","MN02","MN03","MNPN","MX01","MX02","MX03","MXPN","PRCP","PSUN","SNOW","TAVG","TMAX","TMIN","TSUN","WDF1","WDF2","WDF5","WDFG","WDFM","WDMV","WSF1","WSF2","WSF5","WSFG","WSFM"
"USR0000CCOU","2016",,"1787","1787",,,,,,"         0","        10","         0","       189","        80",,,,"29",,,,"106",,"32",,,,,"32",,,,,"2752",,,,"2752",,,,,,,,,,,,,,,,,,,,,"62.2","71.6","52.9",,,,,,,,,,,,
"USC00043157","2016",,,,"        96","        51","         1","       97","        24",,,,,,,,,,"34","6.0","1.34",,,,,,,,,,,,,"5761",,,,"5761",,,,,,,,,,,,,,,,,,"18.20",,"72.2",,,,,,,,,,,,,,,
"USR0000CLAB","2016",,"1848","1848",,,,,,"         0","         2","         0","       244","        88",,,,"31",,,,"107",,"31",,,,,,,,,,"1789",,,,"1789",,,,,,,,,,,,,,,,,,,,,"65.5","76.3","54.7",,,,,,,,,,,,
"USC00048606","2016",,"407","407","        91","        71","        40","       19","        10","         0","        88","         0","       159","        21",,,,"17","12","12.0","5.45","97",,"32","27","24","20",,"32","27","24",,,"4636",,,,"4636",,,,,,,,,,,,,,,,,,"108.65",,"37.5","53.3","66.2","40.4",,,,,,,,,,,,
"USR0000CCON","2016",,"530","530",,,,,,"         0","        70","         2","       181","        14",,,,"11",,,,"96",,"32","26","19","19","16","29","28","20","20","14","4307",,,,"4307",,,,,,,,,,,,,,,,,,,,,"55.3","68.6","42.1",,,,,,,,,,,,
"USR0000CCOL","2016",,,,,,,,,"         0","       111","        17","       106","         5",,,,"14",,,,"95",,"32","27","24","19","16","31","28","23","19","14","6081",,,,"6081",,,,,,,,,,,,,,,,,,,,,"49.0","56.9","41.0",,,,,,,,,,,,
"USC00044484","2016",,,,"        74","        55","        18","        0","         0",,,,,,,,,,"0","0.0","3.78",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"50.47",,"0.0",,,,,,,,,,,,,,,
"USC00046663","2016",,,,"        29","        18","         1",,,,,,,,,,,,,,"1.01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9.48",,,,,,,,,,,,,,,,,
"USR0000CCOR","2016",,"246","246",,,,,,"         0","         5","         0","       213","        20",,,,"29",,,,"106",,"32",,,,,,,,,,"2171",,,,"2171",,,,,,,,,,,,,,,,,,,,,"59.7","72.2","47.2",,,,,,,,,,,,
"USW00023174","2016","7.4","901","901","        38","        22","         2",,,"         0","         0","         0","       201","         6","       129","        24","         4","41",,,"1.42","101",,,,,,,,,,,,"1025",,,,"1025",,,,,,,,,,,,,,,,,,"10.30",,,"64.8","71.9","57.8",,,"       260","       260",,,,,"46.1","53.0",,
"USR0000CCOH","2016",,"1977","1977",,,,,,"         0","         1","         0","       191","        72",,,,"32",,,,"103",,"32",,,,,,,,,,"2481",,,,"2481",,,,,,,,,,,,,,,,,,,,,"63.7","71.7","55.8",,,,,,,,,,,,
"US1CAMD0017","2016",,,,"       112","        82","        28",,,,,,,,,,,,,,"3.66",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"79.69",,,,,,,,,,,,,,,,,
"USR0000CPHI","2016",,"1025","1025",,,,,,"         0","        10","         0","       211","        34",,,,"25",,,,"103",,"29",,,,,"30","25",,,,"3010",,,,"3010",,,,,,,,,,,,,,,,,,,,,"60.2","71.5","48.9",,,,,,,,,,,,
"US1CAAM0003","2016",,,,"        84","        67","        24",,,,,,,,,,,,,,"4.35",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"60.20",,,,,,,,,,,,,,,,,
"US1CAAM0009","2016",,,,"        90","        56","        20",,,,,,,,,,,,,,"3.45",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"52.06",,,,,,,,,,,,,,,,,
"USS0019L40S","2016",,"14","14","        77","        77","         3","      164",,"         0","       142","        18","        76","         0",,,,"1","55",,"1.30","83",,"30","26","18","18","16","27","27","23","17","9","7683",,,,"7683",,,,,,,,,,,,,,,,,,"22.85",,,"44.7","54.7","34.7",,,,,,,,,,,,
"USW00023179","2016",,,,"        19","         9","         0",,,,,,,,"         4",,"        22",,,,"0.67",,,,,,,,,,,,,"995",,,,"995",,,,,,,,,,,,,,,,,,"3.28",,,,,,,,,,,,,,,,,
"USC00046657","2016",,"1008","1008","        35","        31","         8",,,"         0","        25","         0","       157","        16","        24",,"         1","21",,,"5.20","96",,"30","23","23",,,"31","27","23",,,"3510",,,,"3510",,,,,,,,,,,,,,,,,,"27.11",,,"58.8","67.6","49.9",,,,,,,,,,,,
"USC00042294","2016",,"1214","1214","        75","        42","         3",,,"         0","        17","         0","       228","        90",,,,"28",,,"1.70","104","76.5","32","28",,,,"31",,,,,"2141","89","90","89","2141","102","97","91","38","41","47","44","44","48","65","67","69",,"74","71","70",,"20.23",,,"62.4","76.1","48.7",,,,,,,,,,,,
"USC00047741","2016",,"563","563","        36","        22","         2",,,"         0","         0","         0","       152","         1",,,,"39",,,"1.45","94",,,,,,,,,,,,"1251",,,,"1251",,,,,,,,,,,,,,,,,,"11.46",,,"63.2","68.8","57.7",,,,,,,,,,,,
"USC00044232","2016",,"2311","2311","        29","        11","         0",,,"         0","        64","         0","       263","       124",,,,"17",,,"0.76","111",,"31","24","24","20",,"32","26","23","18",,"2729",,,,"2729",,,,,,,,,,,,,,,,,,"3.77",,,"64.1","80.5","47.7",,,,,,,,,,,,
"USW00023161","2016","11.2","3259","3259","        24","        10","         0",,,"         0","        23","         0","       279","       139","        17","         4","        11","18",,,"0.93","114",,"32","25","21",,,"31","26","23","18",,"1941",,,,"1941",,,,,,,,,,,,,,,,,,"3.59",,,"69.2","83.3","55.2",,,"       270","       260",,,,,"51.0","57.9",,
"USW00024259","2016","6.5","666","666","        94","        52","         1",,,"         0","       108","         3","       160","        67","       101","        27","         2","11",,,"1.23","106",,"32","27","23","19","15","32","26","23","11","11","4710",,,,"4710",,,,,,,,,,,,,,,,,,"18.47",,,"53.3","67.7","38.9",,,"       180","       170",,,,,"46.1","57.9",,
"USR0000CTOM","2016",,"37","37",,,,,,"         0","       132","        28","        47","         0",,,,"6",,,,"79",,"29","24","24","17","16","31","28","23","17","12","7280",,,,"7280",,,,,,,,,,,,,,,,,,,,,"45.1","53.1","37.0",,,,,,,,,,,,
"US1CAMD0003","2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"52.97",,,,,,,,,,,,,,,,,
"USW00024257","2016","5.6","2100","2100","        91","        64","        15","        0","         0","         0","        13","         0","       222","       113","        95","        10","        16","23","0","0.0","2.81","111",,"31","26","23",,,,,,,,"2220",,,,"2220",,,,,,,,,,,,,,,,,,"49.37",,"0.0","64.5","76.9","52.2",,,"       170","       170",,,,,"47.0","59.1",,
"US1CAMD0001","2016",,,,"       113","        80","        18",,,,,,,,,,,,,,"2.50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"56.09",,,,,,,,,,,,,,,,,
"USC00043134","2016",,,,,,,"        0","         0",,,,,,,,,,"0","0.3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.3",,,,,,,,,,,,,,,
"USR0000CROD","2016",,"938","938",,,,,,"         0","        29","         0","       175","        73",,,,"25",,,,"105",,"32","28",,,,"32","26",,,,"3706",,,,"3706",,,,,,,,,,,,,,,,,,,,,"57.3","69.5","45.1",,,,,,,,,,,,
"US1CAMR0018","2016",,,,"        74","        56","        11",,,,,,,,,,,,,,"3.24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"48.12",,,,,,,,,,,,,,,,,
"US1CASH0051","2016",,,,"       102","        78","        17",,,,,,,,,,,,,,"2.19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"53.47",,,,,,,,,,,,,,,,,
"US1CAFR0005","2016",,,,"        55","        39","        10",,,,,,,,,,,,,,"3.89",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"27.53",,,,,,,,,,,,,,,,,
"USC00041194","2016",,"1471","1471","        30","        21","         6",,,"         0","         1","         0","       299","        67",,,,"32",,,"1.84","109",,"32",,,,,,,,,,"1228",,,,"1228",,,,,,,,,,,,,,,,,,"12.70",,,"66.0","79.3","52.7",,,,,,,,,,,,
"USR0000CROC","2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6107",,,,"6107",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00047731","2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"20.70",,,,,,,,,,,,,,,,,
"USC00045795","2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2381",,,,"2381",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00003102","2016","5.6","2046","2046","        38","        22","         2","        0",,"         0","         3","         0","       276","       107","       130","         6","         7","31","0",,"1.26","112",,"31",,,,,"31",,,,,"1260",,,,"1260",,,,,,,,,,,,,,,,,,"10.48",,,"67.4","80.6","54.2",,,"        40","        40",,,,,"51.0","68.0",,
"USS0019L42S","2016","3.8","6","6","        88","        88","         1","      197",,"         0","       175","        31","        34","         0",,,,"1","64",,"1.00","77",,"32","25","23","16","12","31","26","22","19","12","8800",,,,"8800",,,,,,,,,,,,,,,,,,"24.26",,,"42.0","50.6","33.4",,,,,,,,,,,,
