"STATION","DATE","AWND","CDSD","CLDD","DP01","DP10","DP1X","DSND","DSNW","DT00","DT32","DX32","DX70","DX90","DYFG","DYHF","DYTS","EMNT","EMSD","EMSN","EMXP","EMXT","EVAP","FZF0","FZF1","FZF2","FZF3","FZF4","FZF5","FZF6","FZF7","FZF8","FZF9","HDSD","HN01","HN02","HN03","HTDD","HX01","HX02","HX03","LN01","LN02","LN03","LX01","LX02","LX03","MN01","MN02","MN03","MNPN","MX01","MX02","MX03","MXPN","PRCP","PSUN","SNOW","TAVG","TMAX","TMIN","TSUN","WDF1","WDF2","WDF5","WDFG","WDFM","WDMV","WSF1","WSF2","WSF5","WSFG","WSFM"
"USR0000CCOU","2010",,"1526","1526",,,,,,"         0","        15","         0","       187","        81",,,,"29",,,,"107",,"31",,,,,"32",,,,,"3342",,,,"3342",,,,,,,,,,,,,,,,,,,,,"59.9","71.2","48.6",,,,,,,,,,,,
"USC00043157","2010",,,,,,,,"         6",,,,,,,,,,,"6.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"17.8",,,,,,,,,,,,,,,
"USR0000CLAB","2010",,"1435","1435",,,,,,"         0","         0","         0","       202","        64",,,,"33",,,,"105",,,,,,,,,,,,"2267",,,,"2267",,,,,,,,,,,,,,,,,,,,,"62.9","72.9","52.9",,,,,,,,,,,,
"USC00048606","2010",,"247","247","       115","        98","        42",,"        26","         0","       121","         3","       130","        10",,,"         1","16",,"22.0","4.93","97",,"29","28","17","17","16","28","28","23",,,"5423",,,,"5423",,,,,,,,,,,,,,,,,,"111.91",,"162.3","50.4","62.1","38.7",,,,,,,,,,,,
"USR0000CCP9","2010",,"1255","1255",,,,,,"         0","        20","         0","       159","        27",,,,"26",,,,"104",,"30","26",,,,"32",,,,,"3296",,,,"3296",,,,,,,,,,,,,,,,,,,,,"58.7","67.1","50.4",,,,,,,,,,,,
"USR0000CPIE","2010",,"273","273",,,,,,"         0","       161","         9","       108","         3",,,,"1",,,,"91",,"32","27","23","20","8","32","25","23","20","15","6616",,,,"6616",,,,,,,,,,,,,,,,,,,,,"47.5","58.3","36.7",,,,,,,,,,,,
"USR0000CESP","2010",,"958","958",,,,,,"         0","        44","         0","       164","        60",,,,"22",,,,"105",,"31","25","24",,,"31","28",,,,"4064",,,,"4064",,,,,,,,,,,,,,,,,,,,,"56.6","68.4","44.7",,,,,,,,,,,,
"USC00043392","2010",,"775","775","        66","        39","         6","        0","         0","         0","         0","         0","       202","        21",,,,"40","0","0.0","2.11","110",,,,,,,,,,,,"1498",,,,"1498",,,,,,,,,,,,,,,,,,"18.96",,"0.0","62.6","71.3","53.9",,,,,,,,,,,,
"USR0000CCOL","2010",,"360","360",,,,,,"         0","       159","        31","        90","         2",,,,"13",,,,"92",,"32","27","24","16","16","31","26","23","20",,"7238",,,,"7238",,,,,,,,,,,,,,,,,,,,,"46.0","53.8","38.2",,,,,,,,,,,,
"USC00044484","2010",,,,"        98","        76","        17","        1","         0",,,,,,,,,,"1","0.6","4.47",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"55.02",,"0.6",,,,,,,,,,,,,,,
"USR0000CCOR","2010",,"202","202",,,,,,"         0","         6","         0","       173","        14",,,,"29",,,,"107",,"31",,,,,,,,,,"2751",,,,"2751",,,,,,,,,,,,,,,,,,,,,"57.3","69.0","45.7",,,,,,,,,,,,
"USW00023174","2010","7.2","326","326","        56","        34","         6",,,"         0","         0","         0","       124","         4","       171","        34","         6","39",,,"2.23","105",,,,,,,,,,,,"1387",,,,"1387",,,,,,,,,,,,,,,,,,"20.05",,,"62.0","68.4","55.5",,,"       270","       270",,,,,"38.0","45.0",,
"USR0000CCOH","2010",,"1696","1696",,,,,,"         0","         2","         0","       168","        60",,,,"31",,,,"107",,"32",,,,,,,,,,"3064",,,,"3064",,,,,,,,,,,,,,,,,,,,,"61.0","68.8","53.3",,,,,,,,,,,,
"USR0000CPHI","2010",,"909","909",,,,,,"         0","        26","         0","       182","        37",,,,"26",,,,"102",,"32","26",,,,"31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"58.1","70.1","46.1",,,,,,,,,,,,
"USR0000CCOA","2010",,"1502","1502",,,,,,"         0","         1","         0","       275","        59",,,,"32",,,,"115",,"32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"65.6","78.4","52.9",,,,,,,,,,,,
