"STATION","DATE","AWND","CDSD","CLDD","DP01","DP10","DP1X","DSND","DSNW","DT00","DT32","DX32","DX70","DX90","DYFG","DYHF","DYTS","EMNT","EMSD","EMSN","EMXP","EMXT","EVAP","FZF0","FZF1","FZF2","FZF3","FZF4","FZF5","FZF6","FZF7","FZF8","FZF9","HDSD","HN01","HN02","HN03","HTDD","HX01","HX02","HX03","LN01","LN02","LN03","LX01","LX02","LX03","MN01","MN02","MN03","MNPN","MX01","MX02","MX03","MXPN","PRCP","PSUN","SNOW","TAVG","TMAX","TMIN","TSUN","WDF1","WDF2","WDF5","WDFG","WDFM","WDMV","WSF1","WSF2","WSF5","WSFG","WSFM"
"USR0000CCOU","2017",,"2061","2061",,,,,,"         0","         7","         0","       183","        87",,,,"28",,,,"108",,,,,,,"32","28",,,,"3167",,,,"3167",,,,,,,,,,,,,,,,,,,,,"62.6","72.2","53.0",,,,,,,,,,,,
"USC00043157","2017",,,,,,,"       66","        30",,,,,,,,,,"18","12.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"75.9",,,,,,,,,,,,,,,
"USR0000CLAB","2017",,"2109","2109",,,,,,"         0","         1","         0","       222","        95",,,,"31",,,,"108",,,,,,,"31",,,,,"1870",,,,"1870",,,,,,,,,,,,,,,,,,,,,"65.8","76.3","55.3",,,,,,,,,,,,
"USC00048606","2017",,"631","631","        89","        74","        37","       37","        14","         0","        97","         5","       167","        32",,,,"19","24","14.0","6.35","98",,"32","28","24",,,"32","28","23","20",,"5022",,,,"5022",,,,,,,,,,,,,,,,,,"126.24",,"64.8","53.8","66.9","40.8",,,,,,,,,,,,
"USR0000CCP9","2017",,"1529","1529",,,,,,"         0","        12","         0","       176","        22",,,,"29",,,,"100",,"31",,,,,"29",,,,,"2999",,,,"2999",,,,,,,,,,,,,,,,,,,,,"61.5","68.4","54.5",,,,,,,,,,,,
"US1CAFR0026","2017",,,,"        60","        37","         0",,,,,,,,,,,,,,"0.88",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14.23",,,,,,,,,,,,,,,,,
"USR0000CCON","2017",,"599","599",,,,,,"         0","        64","         0","       191","        19",,,,"12",,,,"96",,"29","26",,,,"31","28","20","20","12","4131",,,,"4131",,,,,,,,,,,,,,,,,,,,,"56.0","69.3","42.8",,,,,,,,,,,,
"USR0000CCOL","2017",,"630","630",,,,,,"         0","       133","        26","       113","         7",,,,"12",,,,"94",,"31","28","24",,,"30","27","24","19","15",,,,,,,,,,,,,,,,,,,,,,,,,,"49.0","56.8","41.3",,,,,,,,,,,,
"USC00044484","2017",,,,"        64","        57","        20","        0","         0",,,,,,,,,,"0","0.0","4.04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"59.86",,"0.0",,,,,,,,,,,,,,,
"USC00046663","2017",,,,"        38","        23","         3",,,,,,,,,,,,,,"2.83",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13.25",,,,,,,,,,,,,,,,,
"USR0000CCOR","2017",,"471","471",,,,,,"         0","         5","         0","       226","        27",,,,"30",,,,"115",,"32",,,,,"32",,,,,"2421",,,,"2421",,,,,,,,,,,,,,,,,,,,,"60.1","73.5","46.7",,,,,,,,,,,,
"USR0000CCOO","2017",,"655","655",,,,,,"         0","        30","         1","       105","        14",,,,"26",,,,"99",,"31",,,,,"32","28",,,,"5274",,,,"5274",,,,,,,,,,,,,,,,,,,,,"53.3","60.3","46.3",,,,,,,,,,,,
"USW00023174","2017","7.4","994","994","        36","        16","         3",,,"         0","         0","         0","       234","        12","       153","        23","         3","40",,,"2.94","104",,,,,,,,,,,,"1079",,,,"1079",,,,,,,,,,,,,,,,,,"12.28",,,"65.1","72.4","57.8",,,"       270","       110",,,,,"36.0","45.0",,
"USR0000CCOH","2017",,"2320","2320",,,,,,"         0","         1","         0","       179","        85",,,,"32",,,,"107",,,,,,,"32",,,,,"2732",,,,"2732",,,,,,,,,,,,,,,,,,,,,"64.3","72.2","56.5",,,,,,,,,,,,
"US1CAMD0017","2017",,,,"       105","        81","        24",,,,,,,,,,,,,,"4.64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"73.62",,,,,,,,,,,,,,,,,
"USR0000CPHI","2017",,"1177","1177",,,,,,"         0","        10","         0","       214","        30",,,,"29",,,,"101",,"30",,,,,"30",,,,,"2859",,,,"2859",,,,,,,,,,,,,,,,,,,,,"60.8","72.1","49.5",,,,,,,,,,,,
"US1CAAM0009","2017",,,,"        86","        62","        28",,,,,,,,,,,,,,"4.37",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"67.42",,,,,,,,,,,,,,,,,
"USS0019L40S","2017",,"25","25","        80","        80","        13","      195",,"         0","       159","        27","        74","         0",,,,"1","102",,"2.50","83",,"32","26","23","19","13","28","26","21","12","12","7836",,,,"7836",,,,,,,,,,,,,,,,,,"45.37",,,"44.2","54.1","34.2",,,,,,,,,,,,
"USW00023179","2017","8.3","5477","5477","        18","         6","         0",,,"         0","         0","         0","       317","       192","         9",,"        17","37",,,"0.81","125",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2.57",,,"78.2","90.3","66.1",,,"       310","       300",,,,,"48.1","62.0",,
"USC00046657","2017",,"1080","1080","        23","        21","         7",,,"         0","        28","         0","       176","        14","        11",,,"24",,,"5.33","95",,"30","24","24",,,"32","28","24",,,"3336",,,,"3336",,,,,,,,,,,,,,,,,,"30.68",,,"59.2","68.1","50.3",,,,,,,,,,,,
"US1CASH0068","2017",,,,"        92","        62","        10",,,,,,,,,,,,,,"2.34",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"37.90",,,,,,,,,,,,,,,,,
"USC00042294","2017",,,,"        70","        43","        11",,,,,,,,,,,,,,"1.74",,"79.9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"29.88",,,,,,,,,,,,,,,,,
"USC00047741","2017",,,,"        33","        14","         2",,,,,,,,,,,,,,"1.26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7.24",,,,,,,,,,,,,,,,,
"USC00043384","2017",,,,"        82","        67","        27",,,,,,,,,,,,,,"4.42",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"84.62",,,,,,,,,,,,,,,,,
"USW00023161","2017","10.7","3264","3264","        18","         6","         0",,,"         0","        19","         0","       277","       138","        10","         1","         8","26",,,"0.59","115",,"32","26",,,,"32","27",,,,"1737",,,,"1737",,,,,,,,,,,,,,,,,,"2.16",,,"69.4","83.7","55.1",,,"       280","       280",,,,,"50.1","70.0",,
"USW00024259","2017",,,,"        83","        39","         0",,,,,,,,"        96","        31","        13",,,,"0.50",,,,,,,,,,,,,"5470",,,,"5470",,,,,,,,,,,,,,,,,,"10.08",,,,,,,,,,,,,,,,,
"US1CAMD0003","2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"55.43",,,,,,,,,,,,,,,,,
"USW00024257","2017","6.0","2428","2428","        85","        53","        10","        0","         1","         0","        26","         0","       211","       120","        97","        10","        15","27","0","3.0","2.00","114",,"32","27",,,,"32",,,,,"2654",,,,"2654",,,,,,,,,,,,,,,,,,"34.71",,"3.0","64.7","77.6","51.9",,,"       170","       170",,,,,"45.0","57.9",,
"USC00043134","2017",,,,,,,"        0","         1",,,,,,,,,,"0","2.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2.7",,,,,,,,,,,,,,,
"USR0000CROD","2017",,"1095","1095",,,,,,"         0","        39","         0","       169","        65",,,,"25",,,,"106",,"29","26",,,,"32","25",,,,"4090",,,,"4090",,,,,,,,,,,,,,,,,,,,,"57.3","69.3","45.3",,,,,,,,,,,,
"US1CASH0051","2017",,,,"        90","        69","        12",,,,,,,,,,,,,,"2.39",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"41.78",,,,,,,,,,,,,,,,,
"US1CAFR0005","2017",,,,"        61","        44","        13",,,,,,,,,,,,,,"3.24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"37.56",,,,,,,,,,,,,,,,,
"USC00041194","2017",,,,"        42","        28","         3",,,,,"         0","       294","        58",,,,,,,"2.12","109",,,,,,,,,,,,"1295",,,,"1295",,,,,,,,,,,,,,,,,,"11.59",,,,"79.2",,,,,,,,,,,,,
"US1CAFR0008","2017",,,,"        45","        20","         0",,,,,,,,,,,,,,"0.76",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7.72",,,,,,,,,,,,,,,,,
"USC00047731","2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"25.88",,,,,,,,,,,,,,,,,
