"STATION","DATE","AWND","CDSD","CLDD","DP01","DP10","DP1X","DSND","DSNW","DT00","DT32","DX32","DX70","DX90","DYFG","DYHF","DYTS","EMNT","EMSD","EMSN","EMXP","EMXT","EVAP","FZF0","FZF1","FZF2","FZF3","FZF4","FZF5","FZF6","FZF7","FZF8","FZF9","HDSD","HN01","HN02","HN03","HTDD","HX01","HX02","HX03","LN01","LN02","LN03","LX01","LX02","LX03","MN01","MN02","MN03","MNPN","MX01","MX02","MX03","MXPN","PRCP","PSUN","SNOW","TAVG","TMAX","TMIN","TSUN","WDF1","WDF2","WDF5","WDFG","WDFM","WDMV","WSF1","WSF2","WSF5","WSFG","WSFM"
"USR0000CCOU","2020",,"2285","2285",,,,,,"         0","         3","         0","       203","        99",,,,"32",,,,"108",,,,,,,"32",,,,,"2669",,,,"2669",,,,,,,,,,,,,,,,,,,,,"64.3","74.7","54.0",,,,,,,,,,,,
"USC00043157","2020",,"565","565","        88","        55","         0",,"        24","         0","       149","         4","       147","        31",,,,"11",,"5.0","0.95","99",,"26","26","20","20","16","32","28","21","18","11",,,,,,,,,,,,,,,,,,,,,,,"15.20",,"59.6","50.4","63.4","37.5",,,,,,,,,,,,
"USR0000CLAB","2020",,"2205","2205",,,,,,"         0","         1","         0","       219","        98",,,,"32",,,,"108",,"32",,,,,,,,,,"1799",,,,"1799",,,,,,,,,,,,,,,,,,,,,"65.7","76.7","54.8",,,,,,,,,,,,
"USC00048606","2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4743",,,,"4743",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USR0000CCP9","2020",,"1667","1667",,,,,,"         0","         8","         0","       176","        27",,,,"28",,,,"106",,"32",,,,,"30","28",,,,"3137",,,,"3137",,,,,,,,,,,,,,,,,,,,,"61.6","68.7","54.5",,,,,,,,,,,,
"US1CAAM0011","2020",,,,"        49","        28","         5",,,,,,,,,,,,,,"2.18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"19.30",,,,,,,,,,,,,,,,,
"USR0000CPIE","2020",,"504","504",,,,,,"         0","       133","         8","       142","         8",,,,"13",,,,"95",,"31","25","22","19","15","30","24","20","20","15","6156",,,,"6156",,,,,,,,,,,,,,,,,,,,,"50.7","61.7","39.8",,,,,,,,,,,,
"US1CAFR0026","2020",,,,"        49","        21","         0",,,,,,,,,,,,,,"0.97",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7.20",,,,,,,,,,,,,,,,,
"USR0000CCON","2020",,"614","614",,,,,,"         0","        86","         1","       184","        21",,,,"17",,,,"97",,"30","26","17","17",,"30","28","24","18",,"4299",,,,"4299",,,,,,,,,,,,,,,,,,,,,"55.7","69.3","42.1",,,,,,,,,,,,
"USR0000CCOL","2020",,"550","550",,,,,,"         0","       123","        19","       116","         2",,,,"17",,,,"91",,"32","25","24","18",,"30","28","22","19",,"6229",,,,"6229",,,,,,,,,,,,,,,,,,,,,"49.9","58.2","41.5",,,,,,,,,,,,
"US1CASH0071","2020",,,,"        48","        26","         5",,,,,,,,,,,,,,"1.65",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"16.98",,,,,,,,,,,,,,,,,
"USC00044484","2020",,,,"        50","        32","         4","        0","         0",,,,,,,,,,"0","0.0","2.73",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"23.79",,"0.0",,,,,,,,,,,,,,,
"USC00046663","2020",,,,"        16","        11","         1",,,,,,,,,,,,,,"1.47",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7.82",,,,,,,,,,,,,,,,,
"USR0000CCOR","2020",,"494","494",,,,,,"         0","         4","         0","       212","        36",,,,"31",,,,"112",,"31",,,,,"32",,,,,"2355",,,,"2355",,,,,,,,,,,,,,,,,,,,,"59.8","73.4","46.1",,,,,,,,,,,,
"US1CASH0077","2020",,,,"        63","        38","         2",,,,,,,,,,,,,,"1.43",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"17.08",,,,,,,,,,,,,,,,,
"USR0000CCOO","2020",,"713","713",,,,,,"         0","        30","         1","       117","        16",,,,"26",,,,"102",,"32",,,,,"32","27",,,,"4771",,,,"4771",,,,,,,,,,,,,,,,,,,,,"54.7","61.9","47.4",,,,,,,,,,,,
"USW00023174","2020","7.2","836","836","        27","        13","         4",,,"         0","         0","         0","       234","         7","       140","        37","         3","42",,,"1.73","99",,,,,,,,,,,,"868",,,,"868",,,,,,,,,,,,,,,,,,"9.04",,,"64.7","72.1","57.3",,,"       270","       260",,,,,"40.9","51.0",,
"USR0000CCOH","2020",,"2491","2491",,,,,,"         0","         0","         0","       205","        99",,,,"35",,,,"107",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"65.6","74.3","57.0",,,,,,,,,,,,
"US1CAMD0017","2020",,,,"        76","        48","         9",,,,,,,,,,,,,,"2.28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"28.95",,,,,,,,,,,,,,,,,
"USR0000CPHI","2020",,"1274","1274",,,,,,"         0","        13","         0","       194","        47",,,,"26",,,,"105",,"31",,,,,"30","26",,,,"3168",,,,"3168",,,,,,,,,,,,,,,,,,,,,"60.3","71.9","48.6",,,,,,,,,,,,
"US1CAAM0009","2020",,,,"        56","        36","         8",,,,,,,,,,,,,,"3.85",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"26.53",,,,,,,,,,,,,,,,,
"USS0019L40S","2020",,"21","21","        47","        47","         1","      173",,"         0","       175","        22","        87","         0",,,,"2","38",,"1.40","81",,"27","27","14","14","14","31","20","20","20","13","7953",,,,"7953",,,,,,,,,,,,,,,,,,"13.48",,,"44.7","55.2","34.2",,,,,,,,,,,,
"USW00023179","2020","8.1","5148","5148","        11","         6","         0",,,"         0","         0","         0","       287","       185","         6","         1","         5","36",,,"0.80","123",,,,,,,,,,,,"1086",,,,"1086",,,,,,,,,,,,,,,,,,"3.17",,,"76.1","89.2","62.9",,,"       360","        10",,,,,"45.0","55.9",,
"USC00046657","2020",,,,"        41","        31","         8",,,,,,,,"         7",,,,,,"2.38",,,,,,,,,,,,,"3652",,,,"3652",,,,,,,,,,,,,,,,,,"23.50",,,,,,,,,,,,,,,,,
"US1CASH0068","2020",,,,"        60","        33","         7",,,,,,,,,,,,,,"1.95",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"22.41",,,,,,,,,,,,,,,,,
"USC00042294","2020",,"1740","1740","        40","        17","         0",,,"         0","        10","         0","       224","       115",,,,"30",,,"0.70","109","94.6","30",,,,,,,,,,"2112","89","90","88","2112","100","95","93","44","46","49","47","48","50","65","67","69","53","74","71","71","77","6.80",,,"63.8","78.0","49.6",,,,,,,,,,,,
"USC00047741","2020",,"737","737","        64","        21","         2",,,"         0","         0","         0","       182","         1",,,,"37",,,"1.22","91",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6.91",,,"63.2","68.7","57.6",,,,,,,,,,,,
"USW00023161","2020","11.0","3546","3546","        14","         7","         1",,,"         0","        16","         0","       260","       161","         7",,"         6","26",,,"1.03","116",,"32","26",,,,"30",,,,,,,,,,,,,,,,,,,,,,,,,,,"3.36",,,"69.6","84.3","54.8",,,"       250","       250",,,,,"46.1","57.0",,
"US1CASN0159","2020",,,,"        48","        33","         1",,,,,,,,,,,,,,"1.16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13.77",,,,,,,,,,,,,,,,,
"USW00024259","2020","6.0","956","956","        64","        23","         1",,,"         0","       147","         0","       190","        83","        69","        29","         9","13",,,"1.76","105",,"32","27","23","15","15","31","26","19","19",,"5082",,,,"5082",,,,,,,,,,,,,,,,,,"10.35",,,"54.2","70.1","38.4",,,"       170","       170",,,,,"45.0","55.0",,
"US1CAMD0003","2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"16.68",,,,,,,,,,,,,,,,,
"USW00024257","2020","5.4","2408","2408","        55","        33","         4","        0","         0","         0","        17","         0","       233","       129","        66","         6","        14","25","0","0.0","1.42","112",,"29","26",,,,"31",,,,,"2356",,,,"2356",,,,,,,,,,,,,,,,,,"17.86",,"0.0","65.1","79.1","51.1",,,"        20","        10",,,,,"40.9","50.1",,
"US1CAMD0001","2020",,,,"        79","        46","         5",,,,,,,,,,,,,,"1.67",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"21.30",,,,,,,,,,,,,,,,,
"USR0000CROD","2020",,"1109","1109",,,,,,"         0","        37","         0","       191","        62",,,,"26",,,,"105",,"30",,,,,"30","26",,,,"3768",,,,"3768",,,,,,,,,,,,,,,,,,,,,"58.2","70.5","45.8",,,,,,,,,,,,
"US1CASH0051","2020",,,,"        52","        36","         2",,,,,,,,,,,,,,"1.99",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"17.87",,,,,,,,,,,,,,,,,
"USC00041194","2020",,"1586","1586","        23","        16","         3",,,"         0","         0","         0","       290","        72",,,,"33",,,"2.25","114",,,,,,,,,,,,"1448",,,,"1448",,,,,,,,,,,,,,,,,,"10.66",,,"65.5","79.2","51.9",,,,,,,,,,,,
"US1CAFR0008","2020",,,,"        33","        19","         0",,,,,,,,,,,,,,"0.87",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5.48",,,,,,,,,,,,,,,,,
"US1CASH0056","2020",,,,"        59","        39","         2",,,,,,,,,,,,,,"1.42",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"18.20",,,,,,,,,,,,,,,,,
"US1CASN0121","2020",,,,"        67","        34","         1",,,,,,,,,,,,,,"1.50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13.20",,,,,,,,,,,,,,,,,
"USR0000CROC","2020",,"309","309",,,,,,"         0","       184","         5","       163","        13",,,,"4",,,,"93",,"30","24","24","18","13","31","27","24","20","12","6549",,,,"6549",,,,,,,,,,,,,,,,,,,,,"49.2","64.9","33.5",,,,,,,,,,,,
"USW00003102","2020","5.8","2456","2456","        30","        15","         3",,,"         0","         0","         0","       276","       123","       109","         7","         3","34",,,"1.80","118",,,,,,,,,,,,"1285",,,,"1285",,,,,,,,,,,,,,,,,,"9.85",,,"68.3","81.2","55.3",,,"       260","       260",,,,,"140.0","140.0",,
"USS0019L42S","2020","2.9","8","8","        63","        63","         5","      186",,"         1","       187","        35","        44","         0",,,,"-1","54",,"1.00","79",,"32","11","11","11","11","29","27","18","18","11","8937",,,,"8937",,,,,,,,,,,,,,,,,,"16.66",,,"42.4","51.7","33.2",,,,,,,,,,,,
"USW00024283","2020","5.4","16","16","       102","        64","         7",,,"         0","        18","         0","        30","         1","       219","       110","         2","28",,,"1.39","91",,"32",,,,,"32",,,,,"4433",,,,"4433",,,,,,,,,,,,,,,,,,"31.20",,,"52.4","60.2","44.7",,,"       140","       100",,,,,"32.0","64.0",,
"USW00024286","2020","7.8","25","25","       118","        73","         9",,,"         0","         2","         0","        16","         1","       247","        98","         4","30",,,"1.69","95",,"32",,,,,"30",,,,,"4574",,,,"4574",,,,,,,,,,,,,,,,,,"39.60",,,"52.7","58.9","46.5",,,"       180","       190",,,,,"47.0","150.1",,
"USW00003104","2020",,"4530","4530","        11","         5","         1",,,"         0","         9","         0","       332","       192","         8",,"         2","29",,,"1.66","122",,"31",,,,,"32",,,,,"1106",,,,"1106",,,,,,,,,,,,,,,,,,"3.24",,,"74.4","91.2","57.6",,,,,,,,,,,,
"USR0000CNFO","2020",,"1910","1910",,,,,,"         0","        31","         0","       219","       108",,,,"24",,,,"110",,"32","27",,,,"29","28","24",,,"2945",,,,"2945",,,,,,,,,,,,,,,,,,,,,"62.3","76.3","48.4",,,,,,,,,,,,
"USW00023190","2020","5.1","348","348","        25","        16","         3",,,"         0","         2","         0","       209","         7","       174","        29","         2","32",,,"1.25","97",,"32",,,,,"32",,,,,"2051",,,,"2051",,,,,,,,,,,,,,,,,,"7.78",,,"60.3","71.1","49.5",,,"       260",,,,,,"31.1",,,
"USR0000CTRM","2020",,"2277","2277",,,,,,"         0","        10","         0","       216","       113",,,,"28",,,,"110",,"29",,,,,"32","28",,,,"2415",,,,"2415",,,,,,,,,,,,,,,,,,,,,"64.5","77.7","51.3",,,,,,,,,,,,
