"STATION","DATE","AWND","CDSD","CLDD","DP01","DP10","DP1X","DSND","DSNW","DT00","DT32","DX32","DX70","DX90","DYFG","DYHF","DYTS","EMNT","EMSD","EMSN","EMXP","EMXT","EVAP","FZF0","FZF1","FZF2","FZF3","FZF4","FZF5","FZF6","FZF7","FZF8","FZF9","HDSD","HN01","HN02","HN03","HTDD","HX01","HX02","HX03","LN01","LN02","LN03","LX01","LX02","LX03","MN01","MN02","MN03","MNPN","MX01","MX02","MX03","MXPN","PRCP","PSUN","SNOW","TAVG","TMAX","TMIN","TSUN","WDF1","WDF2","WDF5","WDFG","WDFM","WDMV","WSF1","WSF2","WSF5","WSFG","WSFM"
"USR0000CCOU","2015",,"1907","1907",,,,,,"         0","         7","         0","       219","        80",,,,"30",,,,"106",,"32",,,,,,,,,,"2030",,,,"2030",,,,,,,,,,,,,,,,,,,,,"64.0","74.2","53.8",,,,,,,,,,,,
"USC00043157","2015",,"566","566","        78","        50","         0","       32","        11","         1","       119","        16","       149","        21",,,,"-2","17","5.0","0.63","98",,"28","28","24","19","9","32","28","20","20","12","4862",,,,"4862",,,,,,,,,,,,,,,,,,"12.41",,"27.1","52.0","64.5","39.5",,,,,,,,,,,,
"USR0000CLAB","2015",,"1980","1980",,,,,,"         0","         2","         0","       237","        80",,,,"29",,,,"105",,"32",,,,,"29",,,,,"1497",,,,"1497",,,,,,,,,,,,,,,,,,,,,"65.6","76.2","54.9",,,,,,,,,,,,
"USC00048606","2015",,"457","457","        63","        45","        15",,,"         0","        85","         1","       176","        18",,,"         1","19",,,"5.10","97",,"30","27","24","19",,"30","28","23",,,"3969",,,,"3969",,,,,,,,,,,,,,,,,,"42.75",,,"54.6","68.1","41.1",,,,,,,,,,,,
"USR0000CCP9","2015",,"1397","1397",,,,,,"         0","        12","         0","       196","        27",,,,"28",,,,"99",,"32","28",,,,"32",,,,,"2247",,,,"2247",,,,,,,,,,,,,,,,,,,,,"61.9","70.4","53.3",,,,,,,,,,,,
"USR0000CPIE","2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4994",,,,"4994",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USR0000CCON","2015",,"454","454",,,,,,"         0","        70","         0","       170","         4",,,,"13",,,,"93",,"30","27","24","20",,"31","24","24","13","13","3799",,,,"3799",,,,,,,,,,,,,,,,,,,,,"54.8","67.8","41.7",,,,,,,,,,,,
"USR0000CCOL","2015",,"524","524",,,,,,"         0","        93","        12","       119","         9",,,,"14",,,,"95",,"31","28","23","17","14","32","25","22",,,"5236",,,,"5236",,,,,,,,,,,,,,,,,,,,,"51.3","59.7","42.8",,,,,,,,,,,,
"USC00044484","2015",,,,"        37","        30","         7","        0","         0",,,,,,,,,,"0","0.0","2.64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"21.92",,"0.0",,,,,,,,,,,,,,,
"USC00046663","2015",,,,"        33","        16","         0",,,,,,,,,,,,,,"0.88",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6.54",,,,,,,,,,,,,,,,,
"USR0000CCOR","2015",,"504","504",,,,,,"         0","        11","         0","       235","        27",,,,"28",,,,"102",,"32",,,,,"32","28",,,,"1929",,,,"1929",,,,,,,,,,,,,,,,,,,,,"60.5","73.9","47.1",,,,,,,,,,,,
"USR0000CCOO","2015",,"590","590",,,,,,"         0","         5","         0","       116","        15",,,,"31",,,,"96",,"32",,,,,"32",,,,,"3701",,,,"3701",,,,,,,,,,,,,,,,,,,,,"56.0","63.2","48.8",,,,,,,,,,,,
"USW00023174","2015","6.9","1183","1183","        29","        15","         1",,,"         0","         0","         0","       223","         7","       116","        21","         4","36",,,"1.80","99",,,,,,,,,,,,"872",,,,"872",,,,,,,,,,,,,,,,,,"5.96",,,"65.6","72.7","58.4",,,"       270","       270",,,,,"36.9","40.9",,
"USR0000CCOH","2015",,"2105","2105",,,,,,"         0","         0","         0","       213","        68",,,,"33",,,,"104",,,,,,,,,,,,"1816",,,,"1816",,,,,,,,,,,,,,,,,,,,,"65.2","73.7","56.6",,,,,,,,,,,,
"US1CAMD0017","2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"42.01",,,,,,,,,,,,,,,,,
"USR0000CPHI","2015",,"931","931",,,,,,"         0","        22","         0","       210","        31",,,,"22",,,,"97",,"31","28",,,,"31","28","22",,,"2580",,,,"2580",,,,,,,,,,,,,,,,,,,,,"59.8","70.8","48.8",,,,,,,,,,,,
"US1CAAM0003","2015",,,,"        57","        39","        11",,,,,,,,,,,,,,"5.14",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"36.47",,,,,,,,,,,,,,,,,
"US1CAAM0009","2015",,,,"        53","        35","        10",,,,,,,,,,,,,,"4.02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"32.44",,,,,,,,,,,,,,,,,
"USS0019L40S","2015",,"0","0","        83","        83","         3","      145",,"         0","       131","        26","        64","         0",,,,"2","42",,"2.00","79",,"31","26","16","16","12","31","28","24","18","14","6869",,,,"6869",,,,,,,,,,,,,,,,,,"25.66",,,"44.9","54.6","35.0",,,,,,,,,,,,
"USW00023179","2015","8.1","5181","5181","        19","         9","         1",,,"         0","         5","         0","       302","       176","         5",,"        17","28",,,"1.00","118",,"32",,,,,"31",,,,,"664",,,,"664",,,,,,,,,,,,,,,,,,"4.00",,,"76.8","89.0","64.7",,,"       240","       240",,,,,"53.0","65.1",,
