"STATION","DATE","AWND","CDSD","CLDD","DP01","DP10","DP1X","DSND","DSNW","DT00","DT32","DX32","DX70","DX90","DYFG","DYHF","DYTS","EMNT","EMSD","EMSN","EMXP","EMXT","EVAP","FZF0","FZF1","FZF2","FZF3","FZF4","FZF5","FZF6","FZF7","FZF8","FZF9","HDSD","HN01","HN02","HN03","HTDD","HX01","HX02","HX03","LN01","LN02","LN03","LX01","LX02","LX03","MN01","MN02","MN03","MNPN","MX01","MX02","MX03","MXPN","PRCP","PSUN","SNOW","TAVG","TMAX","TMIN","TSUN","WDF1","WDF2","WDF5","WDFG","WDFM","WDMV","WSF1","WSF2","WSF5","WSFG","WSFM"
"USC00043157","2013",,"528","528","        42","        29","         0",,,"         7","       161","        33","       122","        21",,,,"-13",,,"0.80","99",,"31","27","23","18","9","32","27","24","16","16","6307",,,,"6307",,,,,,,,,,,,,,,,,,"7.50",,,"47.8","60.0","35.6",,,,,,,,,,,,
"USR0000CLAB","2013",,"1834","1834",,,,,,"         0","         5","         0","       239","        73",,,,"28",,,,"107",,"32","28",,,,"29",,,,,"1822",,,,"1822",,,,,,,,,,,,,,,,,,,,,"65.0","76.0","54.0",,,,,,,,,,,,
"USC00048606","2013",,"400","400","        45","        34","         8",,,"         0","       101","         2","       151","        17",,,,"9",,,"1.77","97",,"30","26","19","19","14","31","27","24","20","14",,,,,,,,,,,,,,,,,,,,,,,"21.80",,,"53.4","67.3","39.5",,,,,,,,,,,,
"USR0000CCP9","2013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2864",,,,"2864",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USR0000CPIE","2013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5846",,,,"5846",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USR0000CCON","2013",,"533","533",,,,,,"         0","        82","         2","       189","        20",,,,"11",,,,"98",,"32","27","23","18","16","32","28","20","20","14","3976",,,,"3976",,,,,,,,,,,,,,,,,,,,,"55.2","69.7","40.7",,,,,,,,,,,,
"USR0000CESP","2013",,"1108","1108",,,,,,"         0","        50","         0","       203","        62",,,,"16",,,,"103",,"25","25","21","20","16","32","28","22","20",,"3306",,,,"3306",,,,,,,,,,,,,,,,,,,,,"59.1","72.8","45.3",,,,,,,,,,,,
"USC00043392","2013",,,,"        31","        19","         1",,,"         0","         0",,,,,,,"36",,,"1.79",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8.82",,,,,"54.5",,,,,,,,,,,,
"USR0000CCOL","2013",,"504","504",,,,,,"         0","       105","        15","       112","         7",,,,"8",,,,"94",,"32","26","24","18","12","30","28","23","18","13","5922",,,,"5922",,,,,,,,,,,,,,,,,,,,,"49.8","59.4","40.3",,,,,,,,,,,,
"USC00044484","2013",,,,"        37","        26","         3",,,,,,,,,,,,,,"1.73",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12.97",,,,,,,,,,,,,,,,,
